appid,name,overall_similarity,best_community_similarity,best_community
979290,Christmas Defence,0.19420908647079457,0.6682578359717551,3
536920,Groggers!,0.16596098548808788,0.6652172015605083,8
366610,Not without my donuts,0.17668034391352183,0.6315458585983796,8
412430,Empire TV Tycoon Soundtrack,0.1433470105801885,0.6281103792080525,12
1077540,酒店二 The Hotel 2,0.20263902465936154,0.6091276230989656,10
356730,The Hole Story,0.15949633628747922,0.6088575581610823,10
435050,Glory Kingdom,0.1433470105801885,0.6085861111042891,3
550360,One Of The Last,0.19087279531401294,0.6008624581421618,3
