appid,community_id,cosine_similarity
878110,0,-0.09873369531197106
878110,1,-0.07248494617540893
878110,2,-0.09873369531197107
878110,3,-0.09873369531197107
878110,4,-0.09873369531197107
878110,5,-0.09873369531197107
878110,6,-0.09873369531197107
878110,7,-0.09873369531197107
878110,8,-0.09873369531197107
878110,9,-0.07248494617540893
878110,10,-0.09873369531197107
878110,11,-0.07248494617540893
878110,12,-0.09873369531197107
878110,13,-0.09873369531197107
1074340,0,-0.27353104633792735
1074340,1,-0.22031740366110344
1074340,2,-0.27353104633792735
1074340,3,-0.27353104633792735
1074340,4,-0.27353104633792735
1074340,5,-0.27353104633792735
1074340,6,-0.27353104633792735
1074340,7,-0.27353104633792735
1074340,8,-0.27353104633792735
1074340,9,-0.22031740366110344
1074340,10,-0.27353104633792735
1074340,11,-0.22031740366110344
1074340,12,-0.27353104633792735
1074340,13,-0.27353104633792735
3694360,0,-0.28815375714620206
3694360,1,-0.21947590346961915
3694360,2,-0.2881537571462021
3694360,3,-0.2881537571462021
3694360,4,-0.2881537571462021
3694360,5,-0.2881537571462021
3694360,6,-0.2881537571462021
3694360,7,-0.2881537571462021
3694360,8,-0.2881537571462021
3694360,9,-0.21947590346961915
3694360,10,-0.2881537571462021
3694360,11,-0.21947590346961915
3694360,12,-0.2881537571462021
3694360,13,-0.2881537571462021
1245430,0,-0.16580165687627935
1245430,1,-0.24063085655613664
1245430,2,-0.16580165687627932
1245430,3,-0.16580165687627932
1245430,4,-0.16580165687627932
1245430,5,-0.16580165687627932
1245430,6,-0.16580165687627932
1245430,7,-0.16580165687627932
1245430,8,-0.16580165687627932
1245430,9,-0.24063085655613664
1245430,10,-0.16580165687627932
1245430,11,-0.24063085655613664
1245430,12,-0.16580165687627932
1245430,13,-0.16580165687627932
338040,0,-0.2350521188385374
338040,1,-0.19019322846044862
338040,2,-0.2350521188385374
338040,3,-0.2350521188385374
338040,4,-0.2350521188385374
338040,5,-0.2350521188385374
338040,6,-0.2350521188385374
338040,7,-0.2350521188385374
338040,8,-0.2350521188385374
338040,9,-0.19019322846044862
338040,10,-0.2350521188385374
338040,11,-0.19019322846044862
338040,12,-0.2350521188385374
338040,13,-0.2350521188385374
355020,0,-0.2640186111072373
355020,1,-0.19044067367103326
355020,2,-0.2640186111072373
355020,3,-0.2640186111072373
355020,4,-0.2640186111072373
355020,5,-0.2640186111072373
355020,6,-0.2640186111072373
355020,7,-0.2640186111072373
355020,8,-0.2640186111072373
355020,9,-0.19044067367103326
355020,10,-0.2640186111072373
355020,11,-0.19044067367103326
355020,12,-0.2640186111072373
355020,13,-0.2640186111072373
2637070,0,-0.19168219522871072
2637070,1,-0.1374210852873529
2637070,2,-0.19168219522871066
2637070,3,-0.19168219522871066
2637070,4,-0.19168219522871066
2637070,5,-0.19168219522871066
2637070,6,-0.19168219522871066
2637070,7,-0.19168219522871066
2637070,8,-0.19168219522871066
2637070,9,-0.1374210852873529
2637070,10,-0.19168219522871066
2637070,11,-0.1374210852873529
2637070,12,-0.19168219522871066
2637070,13,-0.19168219522871066
3279100,0,-0.14402438008686286
3279100,1,-0.07113739385066165
3279100,2,-0.1440243800868628
3279100,3,-0.1440243800868628
3279100,4,-0.1440243800868628
3279100,5,-0.1440243800868628
3279100,6,-0.1440243800868628
3279100,7,-0.1440243800868628
3279100,8,-0.1440243800868628
3279100,9,-0.07113739385066165
3279100,10,-0.1440243800868628
3279100,11,-0.07113739385066165
3279100,12,-0.1440243800868628
3279100,13,-0.1440243800868628
2520870,0,-0.21477003891404606
2520870,1,-0.12792092121819057
2520870,2,-0.21477003891404606
2520870,3,-0.21477003891404606
2520870,4,-0.21477003891404606
2520870,5,-0.21477003891404606
2520870,6,-0.21477003891404606
2520870,7,-0.21477003891404606
2520870,8,-0.21477003891404606
2520870,9,-0.12792092121819057
2520870,10,-0.21477003891404606
2520870,11,-0.12792092121819057
