appid,community_id,cosine_similarity
878110,0,0.0
878110,1,0.0
878110,2,0.0
878110,3,0.0
878110,4,0.0
878110,5,0.0
878110,6,0.0
878110,7,0.0
878110,8,0.0
878110,9,0.0
878110,10,0.0
878110,11,0.0
878110,12,0.0
878110,13,0.0
1074340,0,0.0
1074340,1,0.012211366558651822
1074340,2,0.0
1074340,3,0.0
1074340,4,0.0
1074340,5,0.0
1074340,6,0.0
1074340,7,0.0
1074340,8,0.0
1074340,9,0.0
1074340,10,0.009428942646088173
1074340,11,0.012086826008596754
1074340,12,0.0
1074340,13,0.0
3694360,0,0.0
3694360,1,0.011778825889242608
3694360,2,0.0
3694360,3,0.0
3694360,4,0.0
3694360,5,0.0
3694360,6,0.0
3694360,7,0.0
3694360,8,0.0
3694360,9,0.0
3694360,10,0.009094958636651452
3694360,11,0.011658696708924964
3694360,12,0.0
3694360,13,0.0
1245430,0,0.001032829382595261
1245430,1,0.0005402585806605588
1245430,2,0.0010300364957447365
1245430,3,0.0010383769905163904
1245430,4,0.0010325456685275542
1245430,5,0.0010346405869473309
1245430,6,0.0010538379543614785
1245430,7,0.001047250986094926
1245430,8,0.0006129506330788888
1245430,9,0.0
1245430,10,0.001157076893659093
1245430,11,0.0008359291931558723
1245430,12,0.001038610572358933
1245430,13,0.001057865876364633
338040,0,0.0
338040,1,0.0063100795788811875
338040,2,0.0
338040,3,0.0
338040,4,0.0
338040,5,0.0
338040,6,0.0
338040,7,0.0
338040,8,0.0
338040,9,0.0
338040,10,0.004872294853794943
338040,11,0.00624572471917973
338040,12,0.0
338040,13,0.0
355020,0,0.002303144964725767
355020,1,0.0025029665846084187
355020,2,0.0023376010101316303
355020,3,0.002428369841312421
355020,4,0.002423468119890848
355020,5,0.0023581753135833486
355020,6,0.0023324945023643824
355020,7,0.002367846876497998
355020,8,0.0029496050775788714
355020,9,0.0
355020,10,0.0042052808023525096
355020,11,0.0024774394797001044
355020,12,0.0024967351328372394
355020,13,0.0024075603009906243
2637070,0,0.011562186271294222
2637070,1,0.012565325381293778
2637070,2,0.01173516158168776
2637070,3,0.012190836821333359
2637070,4,0.012166229331577296
2637070,5,0.01183844814530154
2637070,6,0.011709526029039099
2637070,7,0.011887001064751417
2637070,8,0.014807527904689605
2637070,9,0.0
2637070,10,0.02111123733181369
2637070,11,0.012437174897308964
2637070,12,0.012534042415079124
2637070,13,0.012086369327925157
3279100,0,0.0
3279100,1,0.048702487613605856
3279100,2,0.0
3279100,3,0.0
3279100,4,0.0
3279100,5,0.0
3279100,6,0.0
3279100,7,0.0
3279100,8,0.0
3279100,9,0.0
3279100,10,0.037605370391993874
3279100,11,0.04820578361513722
3279100,12,0.0
3279100,13,0.0
2520870,0,0.017227362057248362
2520870,1,0.038806539219970744
2520870,2,0.017168871829012416
2520870,3,0.016750392454838166
2520870,4,0.01690978414073836
2520870,5,0.017188180026764834
2520870,6,0.015924412713312828
2520870,7,0.016135697618935897
2520870,8,0.018188274610301647
2520870,9,0.03259906833194042
2520870,10,0.027868967773916925
2520870,11,0.03817470176347635
2520870,12,0.016305392878910432
2520870,13,0.01569767863361434
813530,0,0.0049610295901926366
813530,1,0.005121885993324505
813530,2,0.004938135226899166
813530,3,0.004915452140312269
813530,4,0.004895411466882843
813530,5,0.004913409011398433
813530,6,0.005130678385345339
813530,7,0.0050669302719643225
813530,8,0.0028435137439047115
813530,9,0.0
813530,10,0.0064764393194342755
813530,11,0.005208731101946149
813530,12,0.004914922100593061
813530,13,0.00509322169705866
1582650,0,0.005570300321924051
1582650,1,0.0038170195883889747
