appid,best_community_idx,best_community_id,similarity,above_threshold
12560,32,32,0.8974704146385193,True
3530,32,32,0.8971641659736633,True
1151740,32,32,0.8557758331298828,True
503810,32,32,0.8536449670791626,True
536920,2,2,0.8440473675727844,True
200020,32,32,0.8365970253944397,True
108110,32,32,0.8154376149177551,True
21030,32,32,0.8152674436569214,True
353190,32,32,0.8119370341300964,True
366610,2,2,0.811582624912262,True
277890,32,32,0.8101068735122681,True
32650,32,32,0.8074358105659485,True
872580,2,2,0.801855206489563,True
361200,32,32,0.8013684153556824,True
523440,2,2,0.7928981184959412,True
979290,12,12,0.7920975685119629,True
370550,2,2,0.7914911508560181,True
435090,2,2,0.7914080023765564,True
391030,32,32,0.7882699966430664,True
19320,2,2,0.7850865125656128,True
418960,2,2,0.7772012948989868,True
822550,2,2,0.7742890119552612,True
1077540,36,36,0.7704690098762512,True
1052900,2,2,0.7673020362854004,True
867590,27,27,0.7666094899177551,True
413760,2,2,0.7658829092979431,True
516610,2,2,0.7637474536895752,True
491100,2,2,0.763566792011261,True
552380,2,2,0.757912814617157,True
435050,7,7,0.7555112838745117,True
1075370,2,2,0.7542088031768799,True
1093280,2,2,0.7527008056640625,True
951640,2,2,0.7515567541122437,True
654000,2,2,0.7501484155654907,True
258180,34,34,0.7492541670799255,True
1008610,7,7,0.7458547949790955,True
765770,2,2,0.7406057715415955,True
795020,2,2,0.7398292422294617,True
777760,2,2,0.7398292422294617,True
1155790,2,2,0.7386367917060852,True
575780,2,2,0.73695969581604,True
1058980,2,2,0.7362569570541382,True
1660370,7,7,0.7351109981536865,True
586380,2,2,0.7342618107795715,True
2605980,36,36,0.7332333326339722,True
728830,2,2,0.7326719760894775,True
580560,2,2,0.7325885891914368,True
301420,2,2,0.7314500212669373,True
402970,27,27,0.7278671860694885,True
858500,7,7,0.7270168662071228,True
556090,2,2,0.7267927527427673,True
272990,2,2,0.7257283329963684,True
370440,32,32,0.7242066860198975,True
533890,2,2,0.7214254140853882,True
560570,2,2,0.7210599184036255,True
1418020,2,2,0.7204301357269287,True
550360,7,7,0.7184584736824036,True
33670,32,32,0.7166205048561096,True
356730,36,36,0.7163881063461304,True
398250,2,2,0.7161455154418945,True
552000,2,2,0.7156016826629639,True
748830,2,2,0.7149170637130737,True
767870,2,2,0.7142046093940735,True
3461920,2,2,0.7141121625900269,True
265970,32,32,0.712418794631958,True
694160,2,2,0.7116475701332092,True
685990,2,2,0.7106013894081116,True
1031120,32,32,0.7104513049125671,True
628960,2,2,0.7080168128013611,True
355510,2,2,0.7076221704483032,True
415950,2,2,0.7074660062789917,True
359420,2,2,0.707217276096344,True
300620,2,2,0.7056151628494263,True
1160790,23,23,0.7050377130508423,True
513320,32,32,0.7043719291687012,True
420840,2,2,0.704165518283844,True
711600,7,7,0.7031554579734802,True
258470,2,2,0.7026824355125427,True
578840,2,2,0.7012813687324524,True
1282760,2,2,0.7006990909576416,True
417840,2,2,0.7004059553146362,True
