community_id,total_games,games_with_prices,price_coverage,average_price,median_price,min_price,max_price,std_price
0,1184,1102,93.07432432432432,29.89084392014519,21.95,0.0,133.99,28.238048084029504
1,1139,1139,100.0,30.915689201053556,12.45,0.0,309.0,42.31746622548599
2,668,623,93.26347305389223,27.646115569823433,18.5,0.0,169.95,28.281770786885456
3,629,584,92.84578696343402,27.028270547945205,18.5,0.0,159.95,27.05123516782674
4,575,549,95.47826086956522,30.125081967213113,21.95,0.0,159.0,30.172092725206376
5,553,509,92.04339963833634,29.73422396856581,18.5,0.0,131.95,28.40419751815789
6,479,449,93.73695198329854,20.94336302895323,14.5,0.0,110.95,22.409809974304416
7,455,411,90.32967032967034,22.90464720194647,18.5,0.0,92.95,22.823724735236887
8,392,368,93.87755102040816,24.420923913043477,18.5,0.0,149.95,27.076534432146786
9,342,342,100.0,177.72540935672515,169.0,0.0,749.95,98.17202145597673
10,305,287,94.09836065573771,29.16547038327526,19.99,0.0,110.95,27.752259349307987
11,267,253,94.7565543071161,46.617430830039524,36.95,0.0,252.6,33.46828368496982
12,177,159,89.83050847457628,29.86182389937106,25.95,0.0,149.95,29.07606666971051
13,419,389,92.84009546539379,23.751825192802055,18.5,0.0,110.95,24.92995181369754
