appid,best_community_idx,best_community_id,similarity
536920,7,7,0.8162910342216492
366610,7,7,0.7845768332481384
872580,7,7,0.7752265334129333
523440,7,7,0.7670064568519592
370550,7,7,0.7657949328422546
435090,7,7,0.7655537128448486
19320,7,7,0.7591968178749084
979290,7,7,0.7569780945777893
418960,7,7,0.7514051198959351
822550,7,7,0.748843252658844
1052900,7,7,0.7420855164527893
413760,7,7,0.7406264543533325
516610,7,7,0.7388076782226562
491100,7,7,0.7380240559577942
552380,7,7,0.7325072884559631
1075370,7,7,0.7287444472312927
1093280,7,7,0.7280731201171875
951640,7,7,0.7263063192367554
654000,7,7,0.7248679995536804
867590,7,7,0.723552405834198
765770,7,7,0.7167527079582214
795020,7,7,0.7154690623283386
777760,7,7,0.7154690623283386
1155790,7,7,0.7141472101211548
435050,7,7,0.7135066390037537
575780,7,7,0.7123742699623108
1058980,7,7,0.7116768956184387
586380,7,7,0.7087245583534241
728830,7,7,0.708008885383606
301420,7,7,0.7072643041610718
580560,7,7,0.7060086131095886
556090,7,7,0.7026037573814392
272990,7,7,0.7016746997833252
1008610,7,7,0.6992051005363464
1418020,7,7,0.6975468993186951
533890,7,7,0.697484016418457
560570,7,7,0.6972967386245728
1077540,7,7,0.6970336437225342
398250,7,7,0.6924837231636047
552000,7,7,0.6920921206474304
1660370,7,7,0.6917635798454285
748830,7,7,0.6908460259437561
3461920,7,7,0.6904817223548889
767870,7,7,0.690330445766449
694160,7,7,0.6880885362625122
402970,7,7,0.6870570778846741
685990,7,7,0.6865282654762268
415950,7,7,0.6845031380653381
628960,7,7,0.6841822266578674
359420,7,7,0.6840120553970337
355510,7,7,0.6837459802627563
300620,7,7,0.682066023349762
2605980,7,7,0.6814396381378174
420840,7,7,0.6812552213668823
258470,7,7,0.6791094541549683
578840,7,7,0.678318202495575
1282760,7,7,0.6774711012840271
417840,7,7,0.6773234605789185
550360,7,7,0.6760619282722473
894730,7,7,0.6759880185127258
858500,7,7,0.6757159233093262
773870,7,7,0.6750409007072449
520230,7,7,0.673423171043396
884080,7,7,0.6731711030006409
261940,7,7,0.6711210012435913
368990,7,7,0.6701131463050842
448670,7,7,0.6695647239685059
200650,7,7,0.6690356731414795
362110,7,7,0.6687037348747253
1031910,7,7,0.6672527194023132
391180,7,7,0.663175106048584
2953440,7,7,0.6631529331207275
2151580,7,7,0.6631196141242981
1103400,7,7,0.6626043915748596
686110,7,7,0.6620101928710938
98610,7,7,0.6619390845298767
740500,7,7,0.6617187261581421
1130620,7,7,0.661679744720459
575490,7,7,0.6612647175788879
