achievements_total,appid,avg_players_median_6m,categories,coming_soon,community_id,community_size,controller_support,crawl_status,crawl_timestamp,developers,discount_percent,dlc_count,final_price,first_month_in_window,genres,has_dlc,initial_price,is_free,is_synthetic_community,label_dead,label_dead_binary,last_month,linux,mac,metacritic_score,min_months_ok,min_months_required,months_used,name,pc_min_requirements,publishers,recommendations_total,release_date,required_age,supported_languages,tags,type,windows
0.0,320300,23.105,"Racing, Simulation",False,,,,success,2025-08-25T08:16:13.970368,Red Dot Games,0.0,11.0,₪73.95,2025-02-01,"Racing, Simulation",True,₪73.95,False,False,Dead,1,2025-07-01,False,True,68.0,True,3,6,Car Mechanic Simulator 2015,"Minimum:OS *:Windows XP SP3 / Vista / 7 / 8Processor:Core i3 3.1 GHz or AMD Phenom II X3 2.8 GHzMemory:4 GB RAMGraphics:GeForce GTX 560 or Radeon HD6870 with 2GB VRAMDirectX:Version 9.0cStorage:8 GB available spaceSound Card:DirectX compatibleRecommended:OS *:Windows XP SP3 / Vista / 7 / 8Processor:Core i5-2300 / AMD Athlon X4 760K or betterMemory:8 GB RAMGraphics:GeForce GTX 670 or Radeon HD7970 with 2 GB VRAMDirectX:Version 9.0cStorage:8 GB available spaceSound Card:DirectX compatible*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",PlayWay S.A.,15.0,"23 Apr, 2015",0.0,"English, Polish, French, Italian, German, Spanish - Spain, Russian, Hungarian, Turkish, Portuguese - Brazil, Czech, Dutch","Automobile Sim, Simulation, Singleplayer, Building, Driving, Education, Racing, First-Person, Management, Puzzle, Realistic, Multiplayer, Casual, Great Soundtrack, Atmospheric, Funny, Mod, Sandbox, Open World, Action",game,True
0.0,568580,0.025,"Action, Massively Multiplayer, Simulation, Free To Play, Early Access",False,,,,success,2025-08-26T02:00:03.553419,Areo Gaming,0.0,0.0,,2019-01-01,"Action, Massively Multiplayer, Simulation, Free To Play, Early Access",False,,False,False,Dead,1,2019-07-01,False,False,,True,3,6,GunFleet,"Minimum:OS *:Windows 7/8/10Processor:x86-compatible, 2+ GHzMemory:2048 MB RAMGraphics:DirectX 9.0c compatible, with 1024 MB of VRAMDirectX:Version 9.0cNetwork:Broadband Internet connectionStorage:2 GB available spaceSound Card:DirectX 9.0c compatibleRecommended:OS *:Windows 7/8/10Processor:x86-compatible, 2+ GHz, 4 and more coresMemory:4096 MB RAMGraphics:DirectX 10 compatible, with 1024 MB of VRAMDirectX:Version 10Network:Broadband Internet connectionStorage:4 GB available spaceSound Card:DirectX 9.0c compatible*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Areo Gaming,212.0,"6 Feb, 2017",0.0,"English, Russian","Free to Play, Naval, Massively Multiplayer, Simulation, Early Access, War, Action, Naval Combat, World War II, Multiplayer, Open World",game,False
5.0,301610,6.01,"Design & Illustration, Photo Editing",False,,,,success,2025-08-25T07:10:18.851693,PGN Inc,0.0,0.0,₪189.95,2025-02-01,"Design & Illustration, Photo Editing",False,₪189.95,False,False,Dead,1,2025-07-01,False,False,,True,3,6,OpenCanvas 6,"Minimum:OS *:Windows Vista LaterProcessor:x86 compatible processor supporting SSE2Memory:40 MB RAMGraphics:1024x768 / True ColorNetwork:Broadband Internet connectionStorage:50 MB available spaceAdditional Notes:Supporting the pen pressure with Wacom tablet / Supporting the pen pressure with Tablet PC compatible to TabletPC APIRecommended:OS *:Windows Vista / 7 / 8 / 8.1 / 10Processor:x86 compatible processor supporting SSE2Memory:8 GB RAMGraphics:1280x768 or higher (recommended) / True ColorNetwork:Broadband Internet connectionStorage:1 GB available spaceAdditional Notes:Supporting the pen pressure with Wacom tablet / Supporting the pen pressure with Tablet PC compatible to TabletPC API*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",PGN Inc,461.0,"17 Sep, 2014",0.0,"English, Japanese, Korean, Traditional Chinese, Simplified Chinese","Design & Illustration, Photo Editing, Software, Anime",software,True
0.0,598990,1.55,"Simulation, Strategy",False,,,,success,2025-08-26T04:25:24.892211,Assemble Entertainment,90.0,0.0,₪2.19,2022-09-01,"Simulation, Strategy",False,₪21.95,False,False,Dead,1,2024-01-01,True,True,,True,3,6,Pizza Connection,"Minimum:OS *:Windows (XP, Vista, 7, 8, 10)Processor:1,8 GHzMemory:512 MB RAMGraphics:3D graphics card compatible with DirectX 7 (compatible with DirectX 9 recommended)Storage:1 GB available spaceRecommended:Memory:1 GB RAM*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Assemble Entertainment,63.0,"1 Jan, 1994",0.0,English,"Strategy, Simulation, Management, Economy, Classic, Singleplayer, Retro, Indie, Cooking",game,True
30.0,801480,11.795,"Adventure, Indie",False,,,"Full Xbox Controller Support, PS4 Controller Support, PS5 Controller Support",success,2025-08-24T01:13:24.965862,Yak & Co,0.0,0.0,₪73.95,2025-02-01,"Adventure, Indie",False,₪73.95,False,False,Dead,1,2025-07-01,False,True,,True,3,6,Agent A: A puzzle in disguise,"Minimum:Requires a 64-bit processor and operating systemOS *:Windows 7 64-bitProcessor:Intel i3 2.0 GHzMemory:2 GB RAMGraphics:1GB Shader Model 3.0 Compatible (DirectX 9.0c)DirectX:Version 9.0cStorage:1 GB available spaceSound Card:DirectX 9.0 CompatibleRecommended:Requires a 64-bit processor and operating system*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Yak & Co,35.0,"29 Aug, 2019",0.0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Point & Click, Logic, Puzzle, Exploration, Escape Room, Hidden Object, Mystery, Detective, Singleplayer, Controller, Funny, Adventure, Female Protagonist, Story Rich, Family Friendly, Cozy, Investigation, Wholesome, Retro, Casual",game,True
9.0,389440,0.0,"Casual, Indie",False,,,,success,2025-08-25T13:14:44.219446,Sometimes You,0.0,1.0,₪10.95,2016-12-01,"Casual, Indie",True,₪10.95,False,False,Dead,1,2019-04-01,True,True,,True,3,6,Energy Balance Demo,Minimum:OS:XPProcessor:2.4 Ghz Dual Core CPUMemory:1024 MB RAMGraphics:512MB Dedicated MemoryDirectX:Version 9.0Storage:320 MB available spaceSound Card:DirectX® CompatibleRecommended:OS:8.1Processor:3.0 Ghz Quad Core CPU or fasterMemory:1024 MB RAMGraphics:512MB Dedicated MemoryDirectX:Version 9.0Storage:320 MB available spaceSound Card:DirectX® Compatible,Sometimes You,55.0,"2 Jul, 2015",0.0,"English, Russian, Polish, Turkish, Spanish - Spain, French, Italian, Czech, German","Indie, Casual, Puzzle",game,True
86.0,265970,24.785,"RPG, Strategy",False,,,,success,2025-08-25T05:21:21.840137,Wastelands Interactive,0.0,2.0,₪3.50,2025-02-01,"RPG, Strategy",True,₪3.50,False,False,Dead,1,2025-07-01,True,True,52.0,True,3,6,Worlds of Magic,Minimum:OS:Vista 64bitProcessor:Core2Duo 2GHzMemory:4 GB RAMGraphics:HD Graphics 4000DirectX:Version 9.0cStorage:3 GB available spaceRecommended:OS:W8 64bitProcessor:i7Memory:8 GB RAMGraphics:Nvidia Geforce GTX 460 or AMD equivalentDirectX:Version 9.0cStorage:4 GB available space,Conglomerate 5,389.0,"19 Mar, 2015",0.0,"English, German, Spanish - Spain, Polish, Russian, Greek","Strategy, RPG, Turn-Based, 4X, Fantasy, Turn-Based Strategy, Magic, Adventure, Indie",game,True
0.0,3596390,20.34,"Action, Casual, Massively Multiplayer, RPG, Free To Play",False,,,,success,2025-08-27T14:01:51.781105,至尊传说,0.0,0.0,,2025-05-01,"Action, Casual, Massively Multiplayer, RPG, Free To Play",False,,False,False,Dead,1,2025-07-01,False,False,,True,3,3,Dragon-Slaying War God,Minimum:OS:win10&win11Processor:Core I3Memory:2 GB RAMNetwork:Broadband Internet connectionStorage:4 GB available space,至尊传说,58.0,"Jul 10, 2025",0.0,Simplified Chinese,"Massively Multiplayer, Retro, Hack and Slash, Action, RPG, Open World, Action RPG, Roguelite, Loot, MMORPG, Clicker, Point & Click, Martial Arts, Relaxing, Adventure, Fantasy, Casual, Magic, Dark Fantasy, Dragons",game,False
0.0,1008610,1.465,"Action, Casual, Indie, Strategy",False,,,,success,2025-08-24T14:28:27.192426,e-FunSoft Games,0.0,0.0,₪25.95,2022-07-01,"Action, Casual, Indie, Strategy",False,₪25.95,False,False,Dead,1,2024-03-01,False,False,,True,3,6,The Trials of Olympus 2: Wrath of the Gods,"Minimum:OS *:Windows 7 / 8 / 10 / 11Processor:1.5GHz CPUMemory:256 MB RAMGraphics:128MBDirectX:Version 9.0Storage:400 MB available spaceSound Card:DirectX compatible sound deviceRecommended:OS *:Windows 7 / 8 / 10 / 11Processor:1.5GHz CPU or higherMemory:512 MB RAMGraphics:256 MB or higherDirectX:Version 9.0Storage:400 MB available spaceSound Card:DirectX compatible sound device*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",HH-Games,0.0,"28 Jan, 2019",0.0,"English, French, German","Action, Strategy, Indie, Casual, Match 3",game,True
1.0,1577670,0.815,"Casual, Indie",False,,,,success,2025-08-24T13:03:10.700481,yntoo,0.0,0.0,₪3.50,2022-07-01,"Casual, Indie",False,₪3.50,False,False,Dead,1,2023-02-01,False,False,,True,3,6,Loop Timer,Minimum:Requires a 64-bit processor and operating systemOS:win7Processor:x64Memory:2048 MB RAMGraphics:IntegratedStorage:500 MB available spaceRecommended:Requires a 64-bit processor and operating system,yntoo,0.0,"21 Sep, 2021",0.0,"English, Simplified Chinese","Indie, Casual, Utilities, Time Management, 2D, 3D, Modern, Software, Singleplayer",software,True
63.0,755500,26.095,"Action, Adventure",False,,,Full Xbox Controller Support,success,2025-08-23T22:18:23.998930,"GANBARION Co., Ltd.",0.0,6.0,₪199.00,2025-02-01,"Action, Adventure",True,₪199.00,False,False,Dead,1,2025-07-01,False,False,,True,3,6,ONE PIECE World Seeker,"Minimum:Requires a 64-bit processor and operating systemOS *:Windows 7 64-bit SP1Processor:Intel Core i5-2300 or AMD A10-7850KMemory:4 GB RAMGraphics:GeForce GTX 660 or Radeon HD 7950DirectX:Version 11Storage:25 GB available spaceRecommended:Requires a 64-bit processor and operating systemOS:Windows 10Processor:Intel Core i7-3770 or AMD FX-8350Memory:8 GB RAMGraphics:GeForce GTX 1060 or Radeon RX 580DirectX:Version 11Storage:25 GB available space*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",BANDAI NAMCO Entertainment,22.0,"14 Mar, 2019",0.0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","Action, Adventure, Anime, Open World, Singleplayer, Multiplayer, Pirates, Fighting, Story Rich, Third Person, RPG, Fantasy, Co-op, JRPG",game,True
11.0,435090,0.01,"Action, Adventure, Casual, Indie",False,,,,success,2025-08-25T16:35:52.015338,Tianyu Studio,0.0,0.0,₪25.95,2016-12-01,"Action, Adventure, Casual, Indie",False,₪25.95,False,False,Dead,1,2019-04-01,False,True,,True,3,6,Akuatica Demo,"Minimum:OS *:Windows Vista, 7, 8 ,10Processor:2 GHzMemory:1 GB RAMGraphics:Generic or integrated graphics cards.DirectX:Version 8.0Network:Broadband Internet connectionStorage:400 MB available spaceSound Card:Generic or integrated sound cards.Recommended:OS *:Windows Vista, 7, 8 ,10Processor:2 GHzMemory:2 GB RAMGraphics:Entry-level or mainstream graphics cards.DirectX:Version 9.0Network:Broadband Internet connectionStorage:400 MB available spaceSound Card:Entry-level or integrated sound cards.*Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions.",Tianyu Studio,36.0,"27 Nov, 2015",0.0,"English, French, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese","Action, Indie, Casual, Adventure, Puzzle",game,True
