community_id,size,type_most_common,type_top_percentage,developers_most_common,developers_top_percentage,publishers_most_common,publishers_top_percentage,categories_most_common,categories_top_percentage,genres_most_common,genres_top_percentage,tags_most_common,tags_top_percentage,supported_languages_most_common,supported_languages_top_percentage,controller_support_most_common,controller_support_top_percentage,coming_soon_most_common,coming_soon_top_percentage,required_age_mean,required_age_median,required_age_coverage,metacritic_score_mean,metacritic_score_median,metacritic_score_coverage,recommendations_total_mean,recommendations_total_median,recommendations_total_coverage,achievements_total_mean,achievements_total_median,achievements_total_coverage,dlc_count_mean,dlc_count_median,dlc_count_coverage,discount_percent_mean,discount_percent_median,discount_percent_coverage,release_year_mean,release_year_median,release_year_coverage,is_free_true_percentage,windows_true_percentage,mac_true_percentage,linux_true_percentage,has_dlc_true_percentage,average_price,median_price,price_coverage
0,156,game,100.0,qureate,4.49,qureate,4.49,Indie,70.51,Indie,70.51,Indie,55.77,English,94.23,Full Xbox Controller Support,55.0,False,96.15,2.65,0.0,100.0,74.0,74.0,3.8,225.48,64.0,100.0,20.74,11.0,100.0,0.27,0.0,100.0,0.0,0.0,100.0,2020.11,2021.0,99.4,31.4,99.4,27.6,13.5,13.5,22.85,14.5,94.2
1,1139,game,100.0,Daedalic Entertainment,2.61,Daedalic Entertainment,7.64,Indie,64.35,Indie,64.35,Singleplayer,73.89,English,97.38,Full Xbox Controller Support,58.7,False,98.86,1.49,0.0,100.0,72.04,73.0,10.3,180.99,14.0,100.0,31.91,0.0,100.0,0.68,0.0,100.0,63.67,67.0,100.0,2019.04,2020.0,60.8,0.9,100.0,60.8,56.8,23.6,30.92,12.45,100.0
2,267,game,100.0,Rebellion,3.03,THQ Nordic,6.9,Action,52.63,Action,52.63,Singleplayer,73.41,English,99.63,Full Xbox Controller Support,58.82,False,98.88,3.24,0.0,100.0,54.88,59.0,100.0,522.29,195.0,100.0,25.22,24.0,100.0,0.86,0.0,100.0,0.63,0.0,100.0,2012.57,2013.0,98.9,2.6,95.5,25.5,17.2,33.3,46.62,36.95,94.8
3,455,game,100.0,FreeMind S.A.,2.21,PlayWay S.A.,2.49,Indie,76.87,Indie,76.87,Indie,65.71,English,97.35,Full Xbox Controller Support,53.94,False,96.26,1.54,0.0,100.0,76.78,75.0,2.0,244.99,63.0,100.0,21.79,12.0,100.0,0.29,0.0,100.0,0.84,0.0,100.0,2019.53,2019.0,98.7,20.9,96.7,31.4,19.6,16.5,22.9,18.5,90.3
4,575,game,100.0,Octo Games,1.74,Octo Games,1.75,Indie,79.44,Indie,79.44,Indie,61.39,English,95.99,Full Xbox Controller Support,52.89,False,96.87,2.38,0.0,100.0,74.5,75.0,4.2,260.58,65.0,100.0,65.05,14.0,100.0,0.4,0.0,100.0,0.4,0.0,100.0,2019.83,2020.0,99.1,16.3,97.9,28.2,23.1,20.5,30.13,21.95,95.5
5,177,game,100.0,Out of the Park Developments,2.26,PlayWay S.A.,3.43,Indie,83.05,Indie,83.05,Indie,62.71,English,94.92,Full Xbox Controller Support,45.9,False,98.31,2.03,0.0,100.0,71.75,71.0,2.3,241.83,66.0,100.0,30.71,12.0,100.0,0.32,0.0,100.0,0.6,0.0,100.0,2019.71,2020.0,98.3,18.1,96.0,29.4,15.3,17.5,29.86,25.95,89.8
6,553,game,99.64,Inc.,1.83,Next Game,2.0,Indie,75.23,Indie,75.23,Indie,60.76,English,96.56,Full Xbox Controller Support,52.47,False,96.2,1.99,0.0,100.0,77.55,78.0,6.0,295.08,66.0,100.0,22.92,13.0,100.0,0.5,0.0,100.0,0.51,0.0,100.0,2019.15,2020.0,98.4,17.2,97.5,31.1,19.5,24.2,29.73,18.5,92.0
7,305,game,100.0,Hosted Games,6.23,Kagura Games,7.72,Indie,82.89,Indie,82.89,Indie,70.49,English,95.39,Full Xbox Controller Support,42.99,False,93.77,1.95,0.0,100.0,75.86,75.0,2.3,266.75,84.0,100.0,20.35,12.0,100.0,0.3,0.0,100.0,0.26,0.0,100.0,2019.88,2020.0,98.4,17.0,97.4,31.1,26.2,15.7,29.17,19.99,94.1
8,629,game,100.0,LLC,3.03,LLC,3.2,Indie,78.63,Indie,78.63,Indie,60.1,English,95.86,Full Xbox Controller Support,47.74,False,96.34,1.83,0.0,100.0,75.81,75.0,2.5,256.37,73.0,100.0,31.25,15.0,100.0,0.45,0.0,100.0,0.59,0.0,100.0,2019.96,2020.0,98.9,18.1,97.9,32.9,19.6,21.8,27.03,18.5,92.8
9,668,game,100.0,Alawar Casual,2.7,Alawar Casual,5.57,Indie,76.01,Indie,76.01,Indie,65.07,English,96.55,Full Xbox Controller Support,48.54,False,97.6,1.91,0.0,100.0,75.75,76.0,4.2,237.24,60.0,100.0,20.24,12.0,100.0,0.38,0.0,100.0,0.44,0.0,100.0,2019.21,2019.0,98.5,15.7,98.1,28.7,20.1,20.4,27.65,18.5,93.3
