appid,best_community_idx,best_community_id,similarity,above_threshold
216250,1,COMMUNITY_1,0.7469221353530884,True
309970,1,COMMUNITY_1,0.7469221353530884,True
323750,1,COMMUNITY_1,0.7469221353530884,True
3381120,9,COMMUNITY_9,0.7455018758773804,True
1022130,6,COMMUNITY_6,0.7371649146080017,True
1031120,11,COMMUNITY_11,0.7287154197692871,True
34880,11,COMMUNITY_11,0.7271977663040161,True
1149940,9,COMMUNITY_9,0.7269349098205566,True
614090,11,COMMUNITY_11,0.7252969741821289,True
32660,11,COMMUNITY_11,0.721199095249176,True
443080,1,COMMUNITY_1,0.7205823659896851,True
269910,1,COMMUNITY_1,0.7205823659896851,True
339010,1,COMMUNITY_1,0.7205823659896851,True
422310,1,COMMUNITY_1,0.7205823659896851,True
2350,1,COMMUNITY_1,0.7205823659896851,True
329030,1,COMMUNITY_1,0.7205823659896851,True
761160,1,COMMUNITY_1,0.7132886052131653,True
285630,1,COMMUNITY_1,0.7132886052131653,True
598990,1,COMMUNITY_1,0.7123854756355286,True
743140,1,COMMUNITY_1,0.7088574171066284,True
1007020,1,COMMUNITY_1,0.7088574171066284,True
311100,11,COMMUNITY_11,0.7087056040763855,True
292180,9,COMMUNITY_9,0.7086520791053772,True
1341200,9,COMMUNITY_9,0.7075585126876831,True
3494510,1,COMMUNITY_1,0.7024486660957336,True
3535380,1,COMMUNITY_1,0.7024486660957336,True
837510,9,COMMUNITY_9,0.7020381689071655,True
3071670,9,COMMUNITY_9,0.700794517993927,True
