appid,name,overall_similarity,best_community,best_community_similarity
979290,Christmas Defence,0.19420908647079457,3,0.6682578359717551
536920,Groggers!,0.16596098548808788,8,0.6652172015605083
366610,Not without my donuts,0.17668034391352183,8,0.6315458585983796
412430,Empire TV Tycoon Soundtrack,0.1433470105801885,12,0.6281103792080525
1077540,酒店二 The Hotel 2,0.20263902465936154,10,0.6091276230989656
356730,The Hole Story,0.15949633628747922,10,0.6088575581610823
435050,Glory Kingdom,0.1433470105801885,3,0.6085861111042891
550360,One Of The Last,0.19087279531401294,3,0.6008624581421618
368510,Official Guide - Valiant,0.15551435855266393,10,0.5977081599236826
98610,"Demolition, Inc. Demo",0.19580139266003677,12,0.5955086349119478
1235100,"Rolling Hills: Make Sushi, Make Friends",0.30489820220588976,6,0.5925509652760621
523440,zTime (Danger Noodles!),0.1433470105801885,8,0.5908051178576389
2822370,Chocolate Factory Simulator,0.21678717396804542,0,0.5877553812998075
415950,Yohjo Simulator,0.17668034391352183,8,0.583926810979332
1782330,Green Hell VR,0.25652997311091325,0,0.5821520731318865
822550,2DGameManias Taken,0.20097729884425697,8,0.5811107118494752
700160,Semblance,0.26108620618321643,8,0.5809245669590649
418960,Catorize,0.17668034391352183,8,0.5807522078047288
724580,Domino,0.13223589946907738,12,0.5799622310599043
435090,Akuatica Demo,0.17030812854597832,8,0.579947477833438
1052900,Assault of the Robots,0.17668034391352183,8,0.5772248709440586
562410,Panty Party,0.20426993967956167,8,0.5763890255868697
2605980,孤岛笔记 Demo,0.17668034391352183,10,0.5739291956395635
824000,Hokko Life,0.21889372041287014,10,0.5726968170713812
927250,Bladed Fury,0.3142886728990033,4,0.5699323683651457
606890,Masters of Anima,0.3123726959772633,11,0.5687559259971116
858500,Skelli Tower Defense,0.18312479041982616,3,0.5643369646508065
370550,Sparkle 2,0.1975993840783818,7,0.5631994468596285
342350,Into The Gloom,0.19420908647079457,8,0.5630377790674236
3461920,The Boba Teashop,0.18312479041982616,8,0.5628818042526583
334310,Plebby Quest: The Crusades,0.24956693586792092,8,0.5618335572457702
1282690,Crysis® 3 ,0.25141004601422945,3,0.5608612297473214
1225780,他人世界末,0.19500545599185787,10,0.5603191586596397
215020,Orcs Must Die! 2 Demo,0.24719620931116632,11,0.5551023106859061
1409830,Sons of Valhalla,0.30506833762937907,9,0.554505621805864
391440,XenoBloom,0.1433470105801885,12,0.5540363051339784
