appid,name,overall_similarity,best_community,best_community_similarity
979290,Christmas Defence,0.19420908647079457,3,0.6682578359717551
536920,Groggers!,0.16596098548808788,8,0.6652172015605083
366610,Not without my donuts,0.17668034391352183,8,0.6315458585983796
412430,Empire TV Tycoon Soundtrack,0.1433470105801885,12,0.6281103792080525
1077540,酒店二 The Hotel 2,0.20263902465936154,10,0.6091276230989656
356730,The Hole Story,0.15949633628747922,10,0.6088575581610823
435050,Glory Kingdom,0.1433470105801885,3,0.6085861111042891
550360,One Of The Last,0.19087279531401294,3,0.6008624581421618
