type,genres,categories,windows,mac,linux,pc_min_requirements,controller_support,required_age,has_dlc,dlc_count,achievements_total,is_free,initial_price,final_price,discount_percent,metacritic_score,coming_soon,label_dead_binary,years_since_release,platform_count,is_multi_platform,language_count,genre_count,category_count,tag_count,price_change,price_change_percent,age_rating,release_era,tags_Unknown,"tags_Adventure, Casual, Hidden Object","tags_Action, Indie","tags_Action, Indie, Casual",tags_Utilities,"tags_Indie, Casual",tags_Simulation,tags_Strategy,tags_Indie,"tags_Action, Adventure, Indie",developers_Unknown,"developers_KOEI TECMO GAMES CO., LTD.",developers_Square Enix,"developers_CAPCOM Co., Ltd.","developers_Kairosoft Co.,Ltd",developers_Milestone S.r.l.,developers_Choice of Games,developers_Valve,developers_HeR Interactive,developers_Humongous Entertainment,publishers_Unknown,publishers_Square Enix,publishers_Ubisoft,publishers_SEGA,publishers_THQ Nordic,publishers_Electronic Arts,publishers_Devolver Digital,"publishers_KOEI TECMO GAMES CO., LTD.",publishers_Slitherine Ltd.,publishers_Nacon,supported_languages_English,supported_languages_Unknown,"supported_languages_English, Japanese","supported_languages_English, Simplified Chinese",supported_languages_Simplified Chinese,"supported_languages_English, Russian","supported_languages_English, French, Italian, German, Spanish - Spain","supported_languages_English, Japanese, Simplified Chinese, Traditional Chinese","supported_languages_English, Japanese, Simplified Chinese","supported_languages_English, Simplified Chinese, Traditional Chinese"
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,110.95,83.21,90.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-27.74000000000001,-25.0022532672375,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,550,550,True,True,True,16925,17,18.0,False,0.0,0.0,True,55.95,43.95,0.0,77.0,False,1,16.28473648186174,3,1,6,2,2,18,-12.0,-21.44772117962466,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1220,1220,True,True,True,16963,17,0.0,False,0.0,0.0,False,43.95,43.95,0.0,75.0,False,1,19.080082135523615,3,1,1,2,2,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1220,1220,True,True,True,16921,17,0.0,False,0.0,22.0,False,43.95,43.95,0.0,84.0,False,1,18.978781656399725,3,1,5,2,2,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1121,1121,True,True,False,16952,17,0.0,False,0.0,12.0,False,43.95,43.95,0.0,76.0,False,1,17.00479123887748,2,1,5,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1322,1322,True,False,False,16501,17,0.0,False,0.0,0.0,False,55.95,55.95,0.0,82.0,False,1,19.619438740588638,1,0,1,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,False,10502,17,0.0,False,0.0,0.0,False,46.19,46.19,0.0,79.0,False,1,19.619438740588638,1,0,1,1,1,7,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,False,10,17,0.0,False,0.0,0.0,False,92.44,92.44,0.0,77.0,False,1,19.211498973305954,1,0,1,1,1,18,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,False,11,17,0.0,False,0.0,0.0,False,21.95,21.95,0.0,80.0,False,1,19.211498973305954,1,0,1,1,1,12,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,False,11,17,0.0,False,0.0,0.0,False,21.95,21.95,0.0,84.0,False,1,19.211498973305954,1,0,1,1,1,15,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,False,17,17,0.0,False,0.0,0.0,False,69.94,69.94,0.0,68.0,False,1,18.93223819301848,1,0,1,1,1,8,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1256,1256,True,False,False,16500,17,0.0,False,0.0,0.0,False,19.99,19.99,0.0,77.0,False,1,22.858316221765914,1,0,6,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1322,1322,True,False,True,16497,17,0.0,True,2.0,11.0,False,36.95,36.95,0.0,73.0,False,1,19.474332648870636,2,1,8,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1256,1256,True,True,True,5801,9,0.0,True,3.0,10.0,False,55.95,55.95,0.0,65.0,False,1,16.39425051334702,3,1,8,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,530,530,True,False,False,31,17,0.0,False,0.0,0.0,False,20.0,20.0,0.0,72.0,False,1,18.90759753593429,1,0,5,2,2,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,249.0,12.45,40.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-236.55,-95.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,2,True,False,False,2,17,0.0,False,0.0,0.0,False,64.99,64.99,0.0,77.0,False,1,25.796030116358658,1,0,1,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,16894,17,18.0,False,0.0,0.0,False,64.99,64.99,0.0,81.0,False,1,19.926078028747433,1,0,1,1,1,20,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,29,17,0.0,False,0.0,0.0,False,19.99,19.99,0.0,77.0,False,1,31.134839151266256,1,0,1,1,1,20,0.0,0.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,249.0,12.45,40.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-236.55,-95.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,2,False,False,False,29,17,0.0,False,0.0,0.0,False,55.95,43.95,0.0,77.0,False,1,29.973990417522245,0,0,1,1,1,20,-12.0,-21.44772117962466,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,False,False,False,29,17,0.0,False,0.0,0.0,False,55.95,43.95,0.0,77.0,False,1,29.72210814510609,0,0,1,1,1,11,-12.0,-21.44772117962466,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,False,False,False,28,17,0.0,False,0.0,0.0,False,55.95,43.95,0.0,77.0,False,1,18.135523613963038,0,0,1,1,1,17,-12.0,-21.44772117962466,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,16956,17,18.0,False,0.0,0.0,False,20.5,20.5,0.0,59.0,False,1,17.872689938398356,1,0,1,1,1,10,0.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,20,17,0.0,False,0.0,0.0,False,81.0,81.0,0.0,76.0,False,1,19.84394250513347,1,0,1,1,1,20,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,44,17,18.0,False,0.0,0.0,False,81.0,81.0,0.0,87.0,False,1,21.01574264202601,1,0,3,1,1,14,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1310,1310,False,False,False,16466,17,0.0,False,0.0,0.0,False,55.95,43.95,0.0,81.0,False,1,18.90485968514716,0,0,10,2,2,20,-12.0,-21.44772117962466,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,True,False,False,16465,17,18.0,False,0.0,0.0,False,10.95,10.95,0.0,82.0,False,1,20.522929500342233,1,0,1,1,1,14,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,507,507,True,False,False,16492,17,0.0,False,0.0,0.0,False,18.5,18.5,0.0,77.0,False,1,18.195756331279945,1,0,1,3,3,8,0.0,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,249.0,12.45,40.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-236.55,-95.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1328,1328,True,True,True,16963,17,0.0,False,0.0,0.0,False,249.0,12.45,40.0,77.0,False,1,5.928815879534566,3,1,1,1,1,1,-236.55,-95.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
